Mileage,Dealer_Name,Rating,Review_Count,Price,Year,Variant
4930,Mercedes-Benz of Foothill Ranch,4.7,669,47999,2022,EQB 350 Base 4MATIC
59985,Loeber Motors Inc.,4.2,542,26998,2018,GLC 300
15899,Mercedes-Benz of Catonsville,4.3,494,39600,2022,GLB 250 Base 4MATIC
860,Mercedes-Benz of North Palm Beach,2.9,51,136000,2022,AMG SL 55 Base
22815,Mercedes-Benz of Chantilly,4.7,976,48500,2022,AMG GLB 35 Base
24599,Mercedes-Benz of Rochester,4.7,153,68995,2021,GLS 450 4MATIC
43482,Benzel-Busch Motor Car,4.5,5334,58999,2020,GLE 450 AWD 4MATIC
8095,Benzel-Busch Motor Car,4.5,5334,206551,2022,AMG G 63 4MATIC
1056,D-Patrick Motoplex,4.7,373,94595,2023,AMG GLE 53 Base
3895,"Smith Motor Sales of Haverhill, Inc.",4.9,1789,106988,2022,S-Class S 500 4MATIC
43514,Mercedes-Benz of Fayetteville,4.9,1270,56500,2020,S-Class S 450
32948,Mercedes-Benz of Omaha,4.3,420,30500,2020,GLA 250 Base 4MATIC
12152,Mercedes-Benz of Chicago,4.8,1329,60990,2020,S-Class S 450
11288,W.I. Simonson Inc.,4.7,895,102996,2022,S-Class S 580 4MATIC
11316,Feldmann Imports,4.5,642,30871,2021,A-Class A 220 4MATIC
9865,Mercedes-Benz of Hoffman Estates,4.6,1188,197999,2021,AMG G 63 Base
26992,International Autos,4.5,210,50991,2019,GLS 450 Base 4MATIC
1448,Benzel-Busch Motor Car,4.5,5334,65968,2023,GLE 350 Base 4MATIC
5946,Mercedes-Benz of Chandler,4.9,627,148877,2022,AMG SL 63 Base
34586,Fletcher Jones Motorcars of Fremont,4.7,1221,30580,2018,E-Class E 300
41836,Autohaus on Edens,4.7,2494,55134,2020,GLS 450 Base 4MATIC
4918,Mercedes-Benz of Kansas City,4.7,774,54000,2023,GLB 250 Base 4MATIC
11288,W.I. Simonson Inc.,4.7,895,102996,2022,S-Class S 580 4MATIC
16572,Mercedes-Benz of Catonsville,4.3,494,44500,2022,C-Class C 300 4MATIC
11316,Feldmann Imports,4.5,642,30871,2021,A-Class A 220 4MATIC
12152,Mercedes-Benz of Chicago,4.8,1329,60990,2020,S-Class S 450
1448,Benzel-Busch Motor Car,4.5,5334,65968,2023,GLE 350 Base 4MATIC
5946,Mercedes-Benz of Chandler,4.9,627,148877,2022,AMG SL 63 Base
34586,Fletcher Jones Motorcars of Fremont,4.7,1221,30580,2018,E-Class E 300
46307,Benzel-Busch Motor Car,4.5,5334,51333,2018,E-Class E 400 4MATIC
6353,Mercedes-Benz of Covington,4.7,734,104000,2023,EQS 580 4MATIC
17818,Autohaus on Edens,4.7,2494,41574,2020,E-Class E 350 4MATIC
4199,Loeber Motors Inc.,4.2,542,145598,2022,AMG GLS 63
20336,Benzel-Busch Motor Car,4.5,5334,37933,2019,E-Class E 300
6590,Mercedes-Benz of Plano,4.7,1826,53500,2022,E-Class E 350
1973,Mercedes-Benz Of Tampa,4,3522,98941,2023,AMG GT 43 Base
6873,Ray Catena Mercedes Benz Freehold,4.7,766,214999,2020,AMG GT R
